ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
,1345821,0,429202,2.000000000000000,"39201 AMRHEIN RD",0,24.000000000000000,1181727,SANBORN,48150,127700,0,,1960,1207.573870782568292,33,"46 119 99 0002 004",63849.947102376841940,1120,42.372865,-83.429337,1,rooftop,39201,"Amrhein Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1346726,0,429220,1.000000000000000,"12555 BELDEN CT",0,25.000000000000000,1181372,SANBORN,48150,24701,0,,1995,694.689466940553416,33,"46 111 02 0016 000",24698.939071853837959,1120,42.374584,-83.38989,1,rooftop,12555,"Belden Ct",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1348549,0,429244,2.000000000000000,"13851 ECKLES RD",0,23.000000000000000,1370814,SANBORN,48170,10800,0,,1996,443.931718688502713,23,"78 024 99 0043 702",11009.554065776534117,1145,42.381063,-83.43206,1,rooftop,13851,"Eckles Rd",,,Plymouth,MI,"Wayne County",48170,US,Semcog
,1349170,0,429260,1.000000000000000,"32975 SCHOOLCRAFT RD",0,20.000000000000000,1180902,SANBORN,48150,42000,0,,1979,1046.480847487974870,23,"46 106 01 0015 003",42751.622968850104371,1120,42.381442,-83.368549,1,rooftop,32975,"Schoolcraft Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1352760,0,429314,1.000000000000000,"6425 SCHAEFER RD",0,14.000000000000000,1038006,SANBORN,48126,9109,0,,1952,592.428159995540682,51,"82 10 072 17 005",8956.323496195604093,1025,42.337349,-83.177187,1,rooftop,6425,"Schaefer Rd",,,Dearborn,MI,"Wayne County",48126,US,Semcog
,1362599,0,429480,1.000000000000000,"3120 DENTON",0,23.000000000000000,1435232,SANBORN,48211,21200,0,,1978,620.051891903488922,31,"41 005 13 0148 302",21170.169115294826042,1090,42.387412,-83.048616,1,rooftop,3120,"Denton St",,,Hamtramck,MI,"Wayne County",48211,US,Semcog
,1375995,0,429689,1.000000000000000,"16251 WOODWARD AVE",0,16.000000000000000,1121834,SANBORN,48203,20500,0,,1925,705.646267335582024,61,"43 003 02 0019 000",21371.290518157424231,1100,42.414677,-83.103897,1,rooftop,16251,"Woodward Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1377449,0,429712,3.000000000000000,"89 W GRAND",0,34.000000000000000,1123833,SANBORN,48203,26100,0,,0,447.371983528175804,13,"43 009 06 0016 002",8696.605305057832084,1100,42.402779,-83.099211,1,rooftop,89,"W Grand",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1377955,0,429724,2.000000000000000,"15871 WOODWARD AVE",0,26.000000000000000,1121860,SANBORN,48203,8018,0,,1942,331.584786194137450,23,"43 003 03 0031 002",5543.839817297690388,1100,42.411866,-83.10175,1,rooftop,15871,"Woodward Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1378036,0,429726,2.000000000000000,"16065 HAMILTON AVE",0,24.000000000000000,1123129,SANBORN,48203,4079,0,,1939,301.686254445329610,13,"43 005 01 0242 002",4146.869135283409378,1100,42.410082,-83.111778,1,rooftop,16065,"Hamilton Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1414828,0,430401,1.000000000000000,"3230 FAIRLANE DR",0,14.000000000000000,1000050,SANBORN,48101,5993,0,,0,412.234289977248295,65,"30 002 01 0011 000",7080.745588949511330,1005,42.282013,-83.206147,1,rooftop,3230,"Fairlane Dr",,,"Allen Park",MI,"Wayne County",48101,US,Semcog
,1478020,0,431326,1.000000000000000,"15525 VINING RD",0,11.000000000000000,1404249,SANBORN,48174,5300,0,,0,317.386158227442422,41,"80 053 99 0001 700",5317.670208154652755,1170,42.195737,-83.361995,1,rooftop,15525,"Vining Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1478621,0,431337,1.000000000000000,"29160 EUREKA RD",0,14.000000000000000,1406820,SANBORN,48174,14700,0,,1976,545.179587034091469,71,"80 099 99 0003 700",14721.361439840935418,1170,42.195896,-83.32438,1,rooftop,29160,"Eureka Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1487420,0,431478,1.000000000000000,"28800 GODDARD RD",0,16.000000000000000,1404206,SANBORN,48174,3500,0,,1958,246.069879989419860,33,"80 051 99 0018 000",3509.370101236730079,1170,42.226174,-83.320746,1,rooftop,28800,"Goddard Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
